Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1312,Anton Kowalski,us USA,"MF,DF",Clermont Foot,fr Ligue 1,29,1994,22.9,1312,1529,85.8,26711,10756,667,781,85.4,471,549,85.8,97,199,48.7,4,3.7,4.0,0.3,28,137,38,13,108,Matches
1313,Maxime El Amrani,dk DEN,GK,Lens,fr Ligue 1,20,2003,2.7,136,176,77.3,3167,1434,78,87,89.7,67,77,87.0,6,12,50.0,0,1.3,1.8,-1.3,2,14,3,1,12,Matches
1314,Ryan Nielsen,dk DEN,"DF,MF",Paris S-G,fr Ligue 1,23,2000,7.8,352,407,86.5,5899,1533,194,205,94.6,167,180,92.8,15,22,68.2,1,2.9,2.3,-1.9,14,40,21,6,25,Matches
1315,Emil Benali,es ESP,DF,Auxerre,fr Ligue 1,26,1997,8.0,269,346,77.7,5059,1691,149,153,97.4,121,135,89.6,38,58,65.5,1,0.0,0.1,1.0,7,21,7,2,34,Matches
1316,Viktor Hansen,se SWE,MF,Toulouse,fr Ligue 1,23,2000,16.7,727,834,87.2,17931,6714,382,428,89.3,260,319,81.5,42,87,48.3,0,0.0,0.0,0.0,18,102,37,5,46,Matches
1317,Noah Yamamoto,de GER,DF,Strasbourg,fr Ligue 1,16,2007,12.3,167,219,76.3,3625,1224,100,105,95.2,77,89,86.5,12,25,48.0,5,5.1,5.6,-0.1,26,16,61,16,12,Matches
1318,Milan Diallo,fr FRA,DF,Lens,fr Ligue 1,29,1994,5.6,163,237,68.8,4047,1944,104,104,100.0,90,96,93.8,18,37,48.6,0,0.0,0.0,0.0,4,18,8,0,14,Matches
1319,Adam Bakker,se SWE,FW,Troyes,fr Ligue 1,29,1994,12.9,350,453,77.3,6600,2488,236,256,92.2,130,152,85.5,27,45,60.0,1,1.3,1.4,-0.3,11,33,17,2,29,Matches
1320,Ryan Larsen,co COL,DF,Monaco,fr Ligue 1,28,1995,14.4,295,363,81.3,6241,2023,162,175,92.6,135,157,86.0,19,31,61.3,0,0.0,0.6,0.0,5,39,6,6,27,Matches
1321,Callum Costa,us USA,DF,Brest,fr Ligue 1,24,1999,10.9,340,437,77.8,6818,2317,174,187,93.0,175,180,97.2,36,70,51.4,0,0.0,0.4,0.0,2,42,2,1,21,Matches
1322,Emil Gómez,rs SRB,FW,Lorient,fr Ligue 1,27,1996,9.9,234,336,69.6,3762,1937,132,137,96.4,88,104,84.6,57,95,60.0,0,0.5,0.5,-0.5,13,13,18,7,20,Matches
1323,Diego Conti,eng ENG,MF,Toulouse,fr Ligue 1,29,1994,6.3,319,396,80.6,6274,1630,131,157,83.4,128,151,84.8,47,88,53.4,0,0.4,0.6,-0.4,2,27,2,0,26,Matches
1324,Sota Clarke,ma MAR,FW,Lens,fr Ligue 1,25,1998,10.9,163,205,79.5,3332,1312,89,95,93.7,68,83,81.9,16,27,59.3,0,0.0,0.0,0.0,1,13,1,0,16,Matches
1325,Noah Yamamoto,jp JPN,"DF,MF",Lille,fr Ligue 1,21,2002,1.6,100,123,81.3,1632,512,50,57,87.7,34,39,87.2,12,27,44.4,0,0.7,0.8,-0.7,1,11,2,0,8,Matches
1326,Karim Kovač,de GER,DF,Clermont Foot,fr Ligue 1,21,2002,7.5,192,238,80.7,3418,1357,101,110,91.8,102,109,93.6,12,19,63.2,0,0.0,0.0,0.0,1,13,1,0,28,Matches
1327,Ibrahim López,co COL,DF,Clermont Foot,fr Ligue 1,28,1995,13.6,638,722,88.4,10657,3880,339,380,89.2,276,308,89.6,21,34,61.8,0,0.0,0.0,0.0,1,49,2,1,75,Matches
1328,Marco Traoré,co COL,"MF,FW",Brest,fr Ligue 1,21,2002,17.7,758,773,98.1,12182,5344,294,300,98.0,286,342,83.6,105,131,80.2,0,1.1,1.0,-1.1,7,97,8,2,51,Matches
1329,Iker Hughes,fr FRA,"DF,FW",Paris S-G,fr Ligue 1,26,1997,13.0,268,348,77.0,6249,2068,151,162,93.2,116,135,85.9,29,51,56.9,1,0.0,0.0,1.0,9,26,18,2,13,Matches
1330,Théo Benali,us USA,GK,Reims,fr Ligue 1,25,1998,7.3,348,463,75.2,7122,2154,246,256,96.1,194,211,91.9,0,0,,0,0.0,0.0,0.0,2,24,3,0,33,Matches
1331,Théo Lindqvist,no NOR,"DF,FW",Strasbourg,fr Ligue 1,22,2001,4.4,193,256,75.4,3457,1170,124,135,91.9,73,85,85.9,25,36,69.4,0,1.4,1.0,-1.4,1,17,1,1,28,Matches
1332,Luca Yamamoto,uy URU,MF,Lorient,fr Ligue 1,28,1995,2.1,81,85,95.3,1456,550,46,52,88.5,32,34,94.1,0,0,,1,1.8,2.1,-0.8,2,5,3,1,7,Matches
1333,Antoine Laurent,br BRA,DF,Monaco,fr Ligue 1,27,1996,3.9,144,191,75.4,2976,885,66,75,88.0,56,65,86.2,27,51,52.9,0,0.0,0.4,0.0,5,18,4,0,18,Matches
1334,Nuno Pereira,ar ARG,DF,Nice,fr Ligue 1,16,2007,8.9,308,444,69.4,4945,1642,211,224,94.2,140,169,82.8,33,51,64.7,0,0.0,0.0,0.0,3,39,6,0,31,Matches
1335,Bruno Rossi,eng ENG,DF,Rennes,fr Ligue 1,22,2001,4.6,180,225,80.0,2767,766,71,75,94.7,74,85,87.1,39,65,60.0,0,0.0,0.0,0.0,1,15,1,0,18,Matches
1336,Viktor Clarke,it ITA,MF,Monaco,fr Ligue 1,27,1996,7.1,249,312,79.8,5884,2222,162,185,87.6,89,104,85.6,14,23,60.9,1,1.4,1.6,-0.4,17,42,37,3,26,Matches
1337,Owen Byrne,fr FRA,MF,Monaco,fr Ligue 1,28,1995,13.0,412,522,78.9,7972,2327,241,252,95.6,211,243,86.8,15,27,55.6,0,0.0,0.0,0.0,9,57,9,3,34,Matches
1338,Jonas Kowalski,ma MAR,MF,Clermont Foot,fr Ligue 1,30,1993,0.3,15,18,83.3,310,95,8,9,88.9,7,8,87.5,1,1,100.0,0,1.3,1.7,-1.3,0,2,0,0,1,Matches
1339,Finn Petit,se SWE,DF,Toulouse,fr Ligue 1,25,1998,7.4,285,352,81.0,5012,1712,141,149,94.6,112,119,94.1,46,84,54.8,0,0.0,0.2,0.0,4,35,6,2,27,Matches
1340,Erik Kovač,ch SUI,GK,Nice,fr Ligue 1,22,2001,4.7,238,338,70.4,3781,1404,162,176,92.0,117,141,83.0,15,21,71.4,0,0.0,0.0,0.0,3,20,4,1,24,Matches
1341,Andrés Hughes,us USA,MF,Marseille,fr Ligue 1,25,1998,5.2,107,129,82.9,2111,934,48,52,92.3,46,49,93.9,16,28,57.1,1,2.2,1.7,-1.2,4,14,5,1,9,Matches
1342,Stefan Andersson,co COL,DF,Nice,fr Ligue 1,20,2003,12.9,505,675,74.8,11139,2537,261,268,97.4,217,223,97.3,124,184,67.4,0,0.3,0.0,-0.3,4,59,7,0,45,Matches
1343,Diego Berg,dk DEN,GK,Lille,fr Ligue 1,30,1993,16.5,670,937,71.5,10665,3082,332,359,92.5,360,435,82.8,76,143,53.1,0,0.0,0.0,0.0,8,74,13,2,48,Matches
1344,Bruno Fernández,hr CRO,FW,Monaco,fr Ligue 1,26,1997,22.9,758,1058,71.6,16311,3469,446,492,90.7,445,488,91.2,67,78,85.9,0,0.4,0.5,-0.4,14,124,25,1,110,Matches
1345,Sota Cissé,uy URU,FW,Troyes,fr Ligue 1,22,2001,10.0,444,504,88.1,9030,1745,194,207,93.7,147,182,80.8,57,115,49.6,1,0.0,0.3,1.0,5,47,9,3,46,Matches
1346,Milan Traoré,eng ENG,DF,Paris S-G,fr Ligue 1,23,2000,10.0,226,305,74.1,4179,1434,111,126,88.1,124,143,86.7,26,36,72.2,1,1.9,1.9,-0.9,8,22,9,2,17,Matches
1347,Jordan Gómez,ma MAR,MF,Reims,fr Ligue 1,26,1997,18.2,689,760,90.7,11133,3607,320,325,98.5,238,279,85.3,107,156,68.6,3,4.4,5.4,-1.4,33,62,47,10,72,Matches
1348,Mateo Dubois,pt POR,GK,Brest,fr Ligue 1,31,1992,0.1,4,7,57.1,74,33,3,3,100.0,2,2,100.0,2,2,100.0,0,0.0,0.6,0.0,0,0,0,0,0,Matches
1349,Théo Diallo,pt POR,"DF,MF",Montpellier,fr Ligue 1,25,1998,8.9,470,557,84.4,10121,3669,251,284,88.4,215,234,91.9,24,39,61.5,2,1.8,2.4,0.2,13,64,21,4,24,Matches
1350,Pablo El Amrani,hr CRO,FW,Lens,fr Ligue 1,26,1997,8.7,159,186,85.5,2817,1377,79,88,89.8,56,65,86.2,19,33,57.6,0,0.0,0.0,0.0,3,31,3,2,11,Matches
1351,Bruno Ndiaye,dk DEN,"DF,FW",Reims,fr Ligue 1,24,1999,17.7,588,721,81.6,13183,4870,356,392,90.8,258,306,84.3,17,23,73.9,0,0.9,1.5,-0.9,4,76,6,1,68,Matches
1352,Elias Martínez,jp JPN,DF,Nantes,fr Ligue 1,19,2004,14.2,485,610,79.5,9929,3736,295,334,88.3,274,311,88.1,0,0,,0,0.0,0.4,0.0,6,38,9,3,61,Matches
1353,Andrés Petit,eng ENG,FW,Ajaccio,fr Ligue 1,20,2003,11.6,397,537,73.9,8042,3111,205,234,87.6,165,189,87.3,72,114,63.2,1,3.1,2.9,-2.1,9,49,18,2,28,Matches
1354,Diego Petit,ar ARG,"MF,FW",Paris S-G,fr Ligue 1,36,1987,1.6,115,130,88.5,2481,1057,63,63,100.0,38,44,86.4,18,23,78.3,0,0.0,0.1,0.0,1,13,2,0,9,Matches
1355,Felix Müller,uy URU,MF,Lyon,fr Ligue 1,21,2002,10.4,552,664,83.1,10097,2787,299,301,99.3,220,245,89.8,69,118,58.5,0,0.0,0.0,0.0,9,63,8,2,69,Matches
1356,Jordan Horvat,fr FRA,DF,Lorient,fr Ligue 1,28,1995,4.6,263,299,88.0,5677,1381,122,144,84.7,66,75,88.0,43,80,53.8,1,2.8,2.8,-1.8,2,18,4,1,32,Matches
1357,Omar Bakker,pl POL,MF,Nice,fr Ligue 1,27,1996,10.1,364,487,74.7,8008,2903,225,254,88.6,132,147,89.8,38,86,44.2,1,0.0,0.0,1.0,13,24,18,1,44,Matches
1358,Pedro Diallo,at AUT,FW,Ajaccio,fr Ligue 1,29,1994,9.0,337,425,79.3,5593,2144,154,177,87.0,167,190,87.9,34,58,58.6,0,0.0,0.7,0.0,2,41,2,0,44,Matches
1359,Lucas Nielsen,pt POR,FW,Ajaccio,fr Ligue 1,30,1993,5.4,190,239,79.5,3631,1061,97,113,85.8,70,92,76.1,22,34,64.7,0,0.3,0.0,-0.3,4,22,5,2,17,Matches
1360,Javier Lindqvist,rs SRB,"MF,FW",Toulouse,fr Ligue 1,20,2003,13.6,915,1142,80.1,18647,4689,461,528,87.3,301,350,86.0,181,264,68.6,0,0.0,0.0,0.0,1,97,1,0,85,Matches
1361,Iker Rossi,co COL,FW,Auxerre,fr Ligue 1,25,1998,12.7,604,759,79.6,11383,3173,378,380,99.5,306,347,88.2,23,32,71.9,2,0.7,1.2,1.3,5,72,9,0,61,Matches
1362,Diego Wagner,sn SEN,DF,Montpellier,fr Ligue 1,23,2000,2.7,122,168,72.6,2576,760,71,74,95.9,32,38,84.2,28,56,50.0,1,0.5,0.6,0.5,3,10,7,1,10,Matches
1363,Pablo Laurent,ar ARG,"FW,DF",Auxerre,fr Ligue 1,29,1994,29.6,540,697,77.5,9461,4259,250,268,93.3,230,275,83.6,87,154,56.5,2,0.7,1.0,1.3,15,55,15,4,41,Matches
1364,Ibrahim Nowak,nl NED,DF,Ajaccio,fr Ligue 1,29,1994,32.5,1205,1511,79.7,20157,7325,697,742,93.9,379,423,89.6,238,346,68.8,4,2.8,3.6,1.2,33,55,53,18,154,Matches
1365,Finn Greco,pl POL,MF,Strasbourg,fr Ligue 1,35,1988,20.2,980,1172,83.6,16415,5515,535,590,90.7,386,466,82.8,103,116,88.8,0,0.0,0.0,0.0,7,106,11,0,86,Matches
1366,Mason Yamamoto,de GER,FW,Rennes,fr Ligue 1,34,1989,19.9,872,1019,85.6,17750,5899,395,478,82.6,356,420,84.8,69,121,57.0,1,2.2,2.0,-1.2,9,99,12,2,60,Matches
1367,Pedro Müller,es ESP,FW,Angers,fr Ligue 1,23,2000,9.0,436,556,78.4,7953,2832,257,276,93.1,141,163,86.5,69,117,59.0,0,0.0,0.0,0.0,1,39,2,1,39,Matches
1368,Maxime Berg,dk DEN,FW,Lyon,fr Ligue 1,26,1997,10.1,421,510,82.5,8845,2872,189,210,90.0,238,267,89.1,21,33,63.6,0,0.4,0.8,-0.4,6,45,12,1,28,Matches
1369,Karim Lindqvist,sn SEN,DF,Troyes,fr Ligue 1,25,1998,6.5,269,339,79.4,6166,1282,149,150,99.3,115,140,82.1,33,49,67.3,0,0.5,0.0,-0.5,1,30,2,0,20,Matches
1370,Marco Lindqvist,br BRA,"DF,MF",Reims,fr Ligue 1,25,1998,10.2,443,531,83.4,10038,3223,232,244,95.1,181,197,91.9,41,90,45.6,2,0.8,0.4,1.2,17,41,21,0,38,Matches
1371,Luca López,us USA,"MF,DF",Lorient,fr Ligue 1,24,1999,7.8,429,516,83.1,7709,2560,199,210,94.8,172,195,88.2,70,111,63.1,0,0.2,0.7,-0.2,1,46,1,0,22,Matches
1372,Mason El Amrani,co COL,GK,Marseille,fr Ligue 1,23,2000,17.2,910,1337,68.1,14961,4941,545,569,95.8,448,511,87.7,137,257,53.3,1,3.0,2.7,-2.0,6,44,10,2,77,Matches
1373,Adam Tanaka,de GER,"MF,FW",Troyes,fr Ligue 1,27,1996,2.2,101,120,84.2,2288,859,62,71,87.3,38,41,92.7,5,8,62.5,0,0.0,0.2,0.0,1,11,2,1,11,Matches
1374,Samuel Berg,co COL,DF,Strasbourg,fr Ligue 1,21,2002,12.4,435,535,81.3,7190,2973,193,202,95.5,161,183,88.0,42,150,28.0,0,0.0,0.0,0.0,7,42,13,4,70,Matches
1375,Julien Walsh,rs SRB,MF,Lens,fr Ligue 1,24,1999,10.1,459,565,81.2,8812,2775,199,234,85.0,184,211,87.2,76,120,63.3,2,5.4,5.1,-3.4,29,59,51,19,64,Matches
1376,Emil Dubois,ma MAR,"DF,MF",Brest,fr Ligue 1,32,1991,13.6,764,944,80.9,16588,5042,446,494,90.3,311,355,87.6,62,95,65.3,2,1.6,1.9,0.4,12,73,16,5,61,Matches
1377,Thomas Benali,de GER,DF,Ajaccio,fr Ligue 1,22,2001,11.4,272,330,82.4,4186,903,132,151,87.4,95,116,81.9,37,63,58.7,0,1.0,0.9,-1.0,2,38,3,1,28,Matches
1378,Maxime Schmidt,fr FRA,GK,Lyon,fr Ligue 1,24,1999,38.0,2057,3090,66.6,30654,10156,1096,1276,85.9,790,996,79.3,447,818,54.6,5,3.1,2.9,1.9,61,246,70,15,125,Matches
1379,Liam Jansen,de GER,FW,Lens,fr Ligue 1,22,2001,9.5,180,213,84.5,4144,1828,84,93,90.3,63,71,88.7,22,49,44.9,2,1.6,1.5,0.4,10,23,15,3,15,Matches
1380,Milan Petit,br BRA,DF,Monaco,fr Ligue 1,21,2002,9.7,68,81,84.0,1433,496,37,39,94.9,23,28,82.1,9,14,64.3,0,0.0,0.4,0.0,2,6,1,1,4,Matches
1381,Nicolas Weber,sn SEN,DF,Angers,fr Ligue 1,24,1999,12.9,291,418,69.6,6293,2756,215,222,96.8,129,157,82.2,28,39,71.8,1,0.6,0.3,0.4,8,35,7,3,24,Matches
1382,Leo Wagner,dk DEN,DF,Nice,fr Ligue 1,20,2003,14.5,542,645,84.0,11242,2501,266,297,89.6,277,307,90.2,23,41,56.1,0,0.0,0.0,0.0,14,52,15,2,48,Matches
1383,Sergio Jansen,it ITA,"DF,FW",Marseille,fr Ligue 1,28,1995,1.2,28,37,75.7,615,254,15,18,83.3,15,16,93.8,2,3,66.7,0,0.0,0.1,0.0,1,1,1,1,3,Matches
1384,Rafael Cissé,hr CRO,MF,Troyes,fr Ligue 1,32,1991,9.9,504,577,87.3,10601,3685,244,262,93.1,141,158,89.2,93,157,59.2,2,1.1,1.4,0.9,6,54,6,3,39,Matches
1385,Milan Becker,dk DEN,FW,Strasbourg,fr Ligue 1,29,1994,9.3,264,344,76.7,5315,898,121,142,85.2,91,108,84.3,47,94,50.0,0,0.0,0.2,0.0,12,23,21,7,29,Matches
1386,Viktor Doyle,uy URU,DF,Troyes,fr Ligue 1,33,1990,16.3,461,518,89.0,8560,2846,196,214,91.6,218,252,86.5,32,52,61.5,0,0.0,0.2,0.0,1,27,2,0,50,Matches
1387,Oscar Diallo,se SWE,FW,Monaco,fr Ligue 1,23,2000,4.2,105,142,73.9,2401,679,67,72,93.1,38,45,84.4,12,25,48.0,0,0.0,0.0,0.0,1,13,1,0,4,Matches
1388,Pedro Wright,us USA,DF,Rennes,fr Ligue 1,28,1995,6.8,209,257,81.3,4742,1689,117,131,89.3,93,107,86.9,10,19,52.6,0,2.8,3.2,-2.8,3,16,4,1,14,Matches
1389,Thomas Doyle,it ITA,FW,Rennes,fr Ligue 1,24,1999,18.4,648,716,90.5,9291,3642,272,337,80.7,232,252,92.1,75,127,59.1,1,0.2,0.0,0.8,9,31,16,5,36,Matches
1390,Jonas Byrne,co COL,FW,Troyes,fr Ligue 1,24,1999,7.4,309,441,70.1,5541,2458,158,166,95.2,173,194,89.2,39,81,48.1,1,0.0,0.2,1.0,10,39,6,4,33,Matches
1391,Takumi Hoffmann,pt POR,"DF,MF",Montpellier,fr Ligue 1,31,1992,2.6,103,124,83.1,1995,1109,57,63,90.5,45,51,88.2,5,10,50.0,0,0.3,0.0,-0.3,2,13,2,1,11,Matches
1392,Sergio Schmidt,it ITA,GK,Rennes,fr Ligue 1,27,1996,11.0,417,550,75.8,8587,3307,194,212,91.5,165,200,82.5,83,138,60.1,1,1.1,0.6,-0.1,8,55,16,6,35,Matches
1393,Kevin Laurent,pt POR,GK,Angers,fr Ligue 1,35,1988,2.1,96,136,70.6,1693,694,50,58,86.2,46,50,92.0,12,28,42.9,0,0.9,0.7,-0.9,1,10,1,0,5,Matches
1394,Mateo Nielsen,no NOR,"DF,MF",Monaco,fr Ligue 1,30,1993,16.9,1026,1249,82.1,23094,11173,484,556,87.1,394,445,88.5,144,248,58.1,2,2.2,1.9,-0.2,8,74,9,2,112,Matches
1395,Connor Andersson,uy URU,MF,Marseille,fr Ligue 1,24,1999,27.8,1366,1718,79.5,32226,12763,775,864,89.7,575,626,91.9,160,228,70.2,6,6.6,6.2,-0.6,92,118,159,21,227,Matches
1396,Ryan Kowalski,ch SUI,DF,Lyon,fr Ligue 1,25,1998,13.6,367,510,72.0,8428,2542,218,241,90.5,176,196,89.8,40,73,54.8,0,0.5,0.3,-0.5,8,32,11,3,23,Matches
1397,Samuel Santos,pl POL,FW,Nice,fr Ligue 1,23,2000,4.4,97,121,80.2,2327,814,55,62,88.7,37,45,82.2,7,14,50.0,1,2.5,2.4,-1.5,2,9,3,0,12,Matches
1398,Mateo Petit,ch SUI,MF,Lorient,fr Ligue 1,21,2002,12.3,899,980,91.7,18157,4444,264,297,88.9,458,522,87.7,76,161,47.2,2,2.3,2.2,-0.3,5,90,11,2,117,Matches
1399,Pedro Santos,fr FRA,MF,Lille,fr Ligue 1,22,2001,4.0,187,235,79.6,3560,1290,99,109,90.8,76,87,87.4,27,39,69.2,1,0.5,0.1,0.5,4,13,3,3,10,Matches
1400,Viktor Costa,be BEL,DF,Lille,fr Ligue 1,29,1994,0.7,25,31,80.6,469,94,16,16,100.0,11,13,84.6,2,2,100.0,0,0.0,0.0,0.0,0,3,0,0,2,Matches
1401,Rafael Rossi,it ITA,"DF,MF",Auxerre,fr Ligue 1,30,1993,2.8,120,139,86.3,2622,713,52,59,88.1,38,40,95.0,23,40,57.5,0,0.0,0.0,0.0,2,7,2,1,14,Matches
1402,Callum Martínez,us USA,FW,Auxerre,fr Ligue 1,27,1996,3.8,217,237,91.6,4492,2015,97,112,86.6,76,92,82.6,24,33,72.7,0,1.5,0.8,-1.5,1,18,2,0,12,Matches
1403,Mateo Wagner,se SWE,DF,Marseille,fr Ligue 1,26,1997,8.1,281,345,81.4,5749,1793,164,168,97.6,111,138,80.4,26,39,66.7,0,0.4,0.0,-0.4,1,24,1,0,16,Matches
1404,João Wagner,co COL,DF,Reims,fr Ligue 1,26,1997,3.9,90,110,81.8,1948,728,40,44,90.9,34,39,87.2,17,27,63.0,0,0.3,0.4,-0.3,2,10,2,1,6,Matches
1405,Thomas Müller,pt POR,MF,Troyes,fr Ligue 1,25,1998,1.8,106,117,90.6,2076,498,47,50,94.0,37,43,86.0,15,24,62.5,0,1.8,1.4,-1.8,4,16,9,2,11,Matches
1406,Finn Barnes,co COL,MF,Clermont Foot,fr Ligue 1,28,1995,6.1,314,380,82.6,5985,2139,169,185,91.4,119,146,81.5,27,49,55.1,0,0.0,0.2,0.0,3,42,5,1,14,Matches
1407,Pablo Müller,pt POR,DF,Nantes,fr Ligue 1,26,1997,8.6,252,340,74.1,4894,1732,129,146,88.4,104,121,86.0,44,73,60.3,0,0.0,0.0,0.0,2,24,3,0,23,Matches
1408,Nicolas Müller,fr FRA,FW,Nantes,fr Ligue 1,28,1995,4.7,190,252,75.4,2922,927,125,140,89.3,87,98,88.8,8,14,57.1,0,0.1,0.1,-0.1,1,10,1,0,22,Matches
1409,Julien López,ma MAR,FW,Strasbourg,fr Ligue 1,20,2003,1.3,22,31,71.0,397,136,12,13,92.3,8,10,80.0,5,8,62.5,0,0.8,0.4,-0.8,0,3,0,0,1,Matches
1410,Pedro El Amrani,be BEL,MF,Monaco,fr Ligue 1,24,1999,7.6,309,353,87.5,6163,1216,113,122,92.6,122,143,85.3,42,88,47.7,0,0.0,0.6,0.0,4,23,6,1,45,Matches
1411,Youssef Petit,us USA,MF,Reims,fr Ligue 1,24,1999,8.6,587,716,82.0,10685,3058,304,311,97.7,224,258,86.8,73,147,49.7,1,0.3,1.0,0.7,11,62,17,1,48,Matches
1412,Viktor Weber,br BRA,"FW,MF",Auxerre,fr Ligue 1,16,2007,7.8,311,357,87.1,5538,2256,113,129,87.6,82,102,80.4,75,126,59.5,2,1.2,1.4,0.8,24,36,25,6,31,Matches
1413,Kevin Benali,it ITA,MF,Rennes,fr Ligue 1,31,1992,16.2,923,1081,85.4,17625,7301,380,415,91.6,369,410,90.0,152,256,59.4,0,2.1,2.5,-2.1,7,119,12,2,132,Matches
1414,Karim Novak,sn SEN,FW,Montpellier,fr Ligue 1,23,2000,0.8,18,21,85.7,379,145,10,11,90.9,7,8,87.5,1,2,50.0,0,1.1,1.3,-1.1,0,2,0,0,2,Matches
1415,Takumi Yamamoto,pt POR,FW,Lille,fr Ligue 1,26,1997,9.1,440,541,81.3,9115,2766,278,291,95.5,176,201,87.6,31,49,63.3,1,1.6,1.6,-0.6,7,29,16,1,58,Matches
1416,Anton Diallo,ch SUI,GK,Angers,fr Ligue 1,23,2000,4.5,175,273,64.1,3492,1237,115,125,92.0,84,99,84.8,34,49,69.4,0,0.0,0.0,0.0,3,7,2,2,15,Matches
1417,Liam Barnes,at AUT,"MF,DF",Paris S-G,fr Ligue 1,30,1993,13.5,366,395,92.7,7319,1910,151,169,89.3,137,155,88.4,43,71,60.6,2,2.5,3.0,-0.5,29,68,36,12,17,Matches
1418,Daniel Wagner,pl POL,FW,Strasbourg,fr Ligue 1,21,2002,15.7,587,820,71.6,12116,3533,287,324,88.6,227,250,90.8,111,246,45.1,1,2.5,2.6,-1.5,14,59,23,5,28,Matches
1419,Sergio Larsen,se SWE,MF,Angers,fr Ligue 1,30,1993,6.0,331,396,83.6,7235,2454,214,247,86.6,137,165,83.0,0,0,,0,1.6,1.6,-1.6,1,39,2,0,21,Matches
1420,Marco Hansen,jp JPN,GK,Lorient,fr Ligue 1,31,1992,5.4,200,277,72.2,3852,1435,106,116,91.4,79,105,75.2,40,56,71.4,0,0.8,0.7,-0.8,3,24,3,0,21,Matches
1421,Youssef Nielsen,jp JPN,MF,Montpellier,fr Ligue 1,22,2001,2.3,177,198,89.4,3517,1059,96,109,88.1,63,72,87.5,10,17,58.8,1,0.7,0.8,0.3,6,15,6,4,25,Matches
1422,Emil Bianchi,se SWE,MF,Montpellier,fr Ligue 1,23,2000,4.6,183,204,89.7,3815,1198,95,103,92.2,51,64,79.7,27,37,73.0,1,1.0,1.2,0.0,3,17,3,1,3,Matches
1423,Maxime Ndiaye,sn SEN,DF,Rennes,fr Ligue 1,28,1995,5.1,133,184,72.3,2100,696,83,88,94.3,86,90,95.6,4,6,66.7,0,0.0,0.0,0.0,4,12,8,1,6,Matches
1424,David Larsen,no NOR,DF,Lens,fr Ligue 1,23,2000,11.6,524,646,81.1,8609,2542,331,352,94.0,249,275,90.5,12,19,63.2,2,1.7,1.4,0.3,4,47,6,2,37,Matches
1425,Julien Hughes,de GER,GK,Reims,fr Ligue 1,29,1994,1.2,59,80,73.8,1260,506,36,36,100.0,35,41,85.4,2,3,66.7,0,0.2,0.1,-0.2,2,7,3,0,5,Matches
1426,Thomas Sánchez,es ESP,DF,Lyon,fr Ligue 1,21,2002,9.7,395,487,81.1,7343,1684,218,222,98.2,174,213,81.7,30,52,57.7,0,1.1,0.9,-1.1,3,44,2,1,56,Matches
1427,Stefan Pereira,br BRA,DF,Paris S-G,fr Ligue 1,21,2002,8.5,376,450,83.6,8219,2187,189,192,98.4,138,165,83.6,47,93,50.5,0,0.0,0.8,0.0,5,32,7,2,39,Matches
1428,Anton Sánchez,at AUT,GK,Lyon,fr Ligue 1,29,1994,14.6,839,1154,72.7,18431,4217,420,466,90.1,282,322,87.6,234,366,63.9,0,1.2,1.5,-1.2,18,95,26,8,54,Matches
1429,Nicolas Yamamoto,pl POL,MF,Ajaccio,fr Ligue 1,33,1990,2.1,78,99,78.8,1200,424,48,53,90.6,41,43,95.3,2,3,66.7,0,0.0,0.5,0.0,1,8,2,1,8,Matches
1430,Liam Fischer,fr FRA,MF,Angers,fr Ligue 1,30,1993,1.9,49,62,79.0,1069,425,28,31,90.3,23,31,74.2,0,0,,0,0.0,0.0,0.0,2,4,2,1,4,Matches
1431,Marco Kowalski,sn SEN,"MF,DF",Strasbourg,fr Ligue 1,22,2001,6.5,256,321,79.8,5406,1660,143,155,92.3,90,101,89.1,42,65,64.6,1,2.0,2.1,-1.0,3,13,5,1,22,Matches
1432,Karim Cissé,be BEL,DF,Troyes,fr Ligue 1,29,1994,1.5,70,83,84.3,1391,465,35,39,89.7,24,27,88.9,7,17,41.2,0,0.8,1.6,-0.8,0,5,0,0,3,Matches
1433,Nuno Clarke,uy URU,"DF,FW",Nantes,fr Ligue 1,24,1999,13.6,514,681,75.5,10994,3843,257,290,88.6,266,277,96.0,45,114,39.5,0,0.0,0.0,0.0,11,38,19,4,10,Matches
1434,Finn Hoffmann,us USA,DF,Nantes,fr Ligue 1,24,1999,23.0,456,578,78.9,11366,2763,279,306,91.2,189,218,86.7,35,54,64.8,0,1.4,1.8,-1.4,19,9,40,6,31,Matches
1435,Ryan Wright,br BRA,MF,Toulouse,fr Ligue 1,33,1990,2.8,132,155,85.2,2949,1205,70,78,89.7,52,57,91.2,10,20,50.0,0,0.8,0.8,-0.8,2,6,2,1,5,Matches
1436,Anton López,es ESP,DF,Brest,fr Ligue 1,22,2001,13.5,337,458,73.6,5559,1814,221,242,91.3,161,175,92.0,20,41,48.8,1,1.3,1.3,-0.3,3,55,4,0,34,Matches
